1,698,26
2,2,36
3,296,30
4,546,50
5,490,79
6,38,107
7,201,56
8,556,97
9,468,14
10,429,97
11,907,73
12,899,77
13,511,77
14,111,103
15,106,18
16,407,74
17,462,104
18,812,66
19,323,72
20,651,73
21,666,18
22,776,26
23,827,8
24,477,44
25,773,74
26,407,105
27,961,7
28,386,108
29,654,80
30,560,62
31,730,17
32,924,6
33,729,105
34,675,104
35,984,85
36,959,37
37,84,92
38,942,83
39,26,94
40,511,103
41,971,24
42,878,28
43,115,39
44,47,23
45,70,92
46,187,22
47,669,82
48,516,52
49,421,62
50,345,20
51,779,13
52,577,47
53,295,9
54,795,27
55,331,29
56,94,56
57,349,6
58,638,93
59,34,49
60,90,39
61,724,50
62,161,60
63,387,51
64,959,108
65,811,77
66,601,96
67,853,33
68,752,64
69,575,106
70,947,46
71,965,96
72,40,90
73,676,24
74,528,40
75,890,107
76,711,49
77,572,77
78,164,19
79,225,72
80,475,63
81,690,15
82,584,88
83,311,33
84,19,15
85,467,19
86,270,96
87,80,99
88,252,29
89,348,63
90,913,88
91,988,47
92,97,80
93,1,71
94,664,58
95,946,97
96,731,89
97,39,16
98,662,77
99,18,67
100,201,29
101,36,33
102,36,49
103,624,26
104,7,100
105,236,18
106,816,72
107,313,93
108,549,17
109,355,66
110,389,34
111,789,61
112,587,40
113,849,60
114,146,64
115,517,59
116,631,82
117,720,18
118,256,64
119,535,22
120,956,8
121,479,51
122,541,97
123,653,79
124,276,36
125,573,40
126,485,47
127,634,41
128,607,39
129,785,53
130,650,49
131,43,47
132,935,33
133,840,18
134,462,101
135,823,78
136,402,90
137,111,45
138,415,110
139,581,46
140,329,56
141,691,26
142,429,62
143,797,45
144,57,24
145,2,110
146,848,12
147,410,89
148,797,99
149,701,12
150,487,96
151,130,70
152,711,6
153,74,11
154,1,59
155,621,63
156,84,93
157,389,13
158,194,86
159,252,20
160,236,91
161,103,83
162,382,33
163,632,105
164,678,75
165,829,51
166,94,46
167,906,86
168,608,91
169,852,22
170,223,99
171,26,52
172,547,103
173,995,78
174,984,73
175,374,17
176,759,66
177,135,9
178,202,63
179,944,38
180,209,33
181,476,53
182,177,40
183,811,30
184,430,67
185,112,91
186,287,80
187,484,103
188,208,102
189,447,93
190,653,55
191,542,34
192,796,105
193,325,82
194,955,25
195,900,56
196,849,52
197,554,49
198,828,36
199,560,20
200,28,19
201,486,30
202,207,55
203,573,6
204,981,59
205,678,69
206,297,28
207,279,78
208,595,12
209,977,67
210,674,94
211,533,50
212,756,92
213,578,22
214,909,55
215,438,73
216,473,72
217,604,91
218,988,72
219,724,63
220,228,70
221,440,64
222,36,17
223,666,63
224,508,58
225,431,25
226,130,80
227,477,77
228,479,13
229,69,49
230,944,104
231,814,56
232,736,12
233,461,106
234,318,26
235,1,55
236,950,33
237,257,66
238,678,101
239,448,48
240,295,89
241,106,53
242,613,62
243,596,81
244,178,30
245,929,73
246,675,38
247,905,110
248,146,97
249,68,39
250,608,107
251,201,31
252,435,39
253,921,75
254,637,15
255,171,13
256,379,27
257,84,56
258,845,67
259,548,7
260,640,52
261,789,28
262,207,61
263,406,78
264,776,39
265,253,22
266,146,14
267,267,100
268,471,64
269,917,52
270,225,13
271,566,95
272,452,20
273,239,80
274,556,23
275,970,23
276,280,103
277,526,88
278,866,26
279,431,23
280,777,38
281,880,16
282,433,34
283,312,42
284,849,12
285,540,79
286,48,84
287,632,35
288,560,81
289,707,39
290,186,8
291,288,72
292,364,63
293,517,44
294,457,31
295,708,63
296,6,20
297,608,92
298,982,60
299,377,110
300,40,102
301,751,110
302,551,85
303,546,63
304,61,8
305,281,79
306,588,24
307,795,17
308,95,8
309,528,15
310,287,88
311,26,55
312,934,53
313,988,8
314,75,30
315,980,88
316,102,64
